DV_phys_or_sex_partner_p,DM_age_mean,DM_age_marr_mean,ED_educ_years_mean,FF_TFR
28.23,30.71,19.99,10.85,2.038
49.57,25.22,14.24,2.72,3.469
24.22,29.15,17.08,0.9,6.771
,29.14,20.55,6.9,5.326
17.08,30.69,17.19,0.97,6.683
27.03,26.09,20.83,7.69,4.24
12.29,29.46,18.98,2.63,4.302
47.72,27.39,19.53,8.0,3.475
34.24,27.78,18.58,6.29,3.575
56.63,27.62,19.57,9.32,3.731
20.42,27.81,18.67,2.19,6.003
14.07,23.53,20.29,4.68,4.369
24.66,28.54,15.34,1.09,5.344
46.75,27.31,19.11,7.76,3.413
15.12,28.12,18.13,5.67,5.363
20.6,28.69,19.57,6.47,3.912
,29.65,16.15,1.1,5.539
24.88,27.82,20.22,5.63,3.855
20.72,27.99,17.92,7.02,3.138
35.36,22.94,15.34,1.91,2.363
,19.75,19.08,4.57,1.903
12.89,17.9,19.84,4.95,4.112
31.38,26.5,19.33,8.23,3.402
,28.18,18.49,7.46,3.412
38.86,28.57,18.66,5.14,4.115
,28.06,18.57,5.0,5.688
27.6,27.37,17.24,4.69,6.738
11.55,20.32,19.86,4.89,2.128
32.48,28.95,15.36,0.69,6.888
,28.32,18.97,1.12,5.008
17.02,29.33,16.12,1.46,5.389
32.26,27.37,20.86,7.26,4.949
,24.36,16.82,1.06,4.111
,27.82,17.02,5.05,4.28
,27.91,14.43,0.38,6.702
26.01,27.68,17.28,5.01,5.704
17.3,23.06,18.35,1.27,5.046
40.95,28.99,18.52,5.55,4.969
18.78,29.98,21.41,9.89,3.752
46.33,26.95,21.53,6.06,4.369
20.98,27.73,17.75,3.33,5.546
39.79,29.14,17.11,1.83,5.623
18.12,30.23,22.4,9.35,2.293
14.84,29.8,20.26,10.6,3.384
69.06,29.4,17.69,4.57,5.84
22.51,27.98,19.77,5.84,5.57
18.67,27.61,19.78,4.6,2.717
,25.48,19.79,4.68,1.879
47.78,26.82,17.24,5.33,6.277
,23.56,19.75,4.93,2.702
45.38,27.26,17.01,4.94,6.842
30.32,27.69,17.98,6.12,4.493
